"Identifier","CID","MolecularFormula","MolecularWeight","CanonicalSMILES","IsomericSMILES","InChI","InChIKey","IUPACName","ExactMass","MonoisotopicMass"
"PC 40:4",53479183,"C48H88NO8P",838.2,"CCCCCCCCC=CCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCC=CCC=CCC","CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC","InChI=1S/C48H88NO8P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-28-30-32-34-36-38-40-47(50)54-44-46(45-56-58(52,53)55-43-42-49(3,4)5)57-48(51)41-39-37-35-33-31-29-26-21-19-17-15-13-11-9-7-2/h9,11,15,17,20-22,26,46H,6-8,10,12-14,16,18-19,23-25,27-45H2,1-5H3/b11-9-,17-15-,22-20-,26-21-/t46-/m1/s1","FHUAYOMRHXZKHT-JUGJLYODSA-N","[(2R)-3-[(Z)-docos-13-enoyl]oxy-2-[(9Z,12Z,15Z)-octadeca-9,12,15-trienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",837.62475576,837.62475576
"PS 18:1_24:1",138318267,"C48H90NO10P",872.2,"CCCCCCCCCCC=CCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(C(=O)O)N","CCCCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCC(C(=O)O)N","InChI=1S/C48H90NO10P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-24-26-28-30-32-34-36-38-40-47(51)59-44(42-57-60(54,55)58-43-45(49)48(52)53)41-56-46(50)39-37-35-33-31-29-27-25-18-16-14-12-10-8-6-4-2/h18,20-21,25,44-45H,3-17,19,22-24,26-43,49H2,1-2H3,(H,52,53)(H,54,55)/b21-20-,25-18-","ZXTADEULCFDMTE-BJSHFZDTSA-N","2-amino-3-[hydroxy-[3-[(Z)-octadec-9-enoyl]oxy-2-[(Z)-tetracos-13-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid",871.63023507,871.63023507
"PC O-40:4",164375712,"C48H90NO7P",824.2,"CCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC=CCC=CCC=CCC=CCC","CCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C48H90NO7P/c1-6-8-10-12-14-16-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-35-37-39-41-48(50)56-47(46-55-57(51,52)54-44-42-49(3,4)5)45-53-43-40-38-36-34-17-15-13-11-9-7-2/h8,10,14,16,19-20,22-23,47H,6-7,9,11-13,15,17-18,21,24-46H2,1-5H3/b10-8-,16-14-,20-19-,23-22-","PCRPQEYUJVWWPG-DRJPRSGJSA-N","[3-dodecoxy-2-[(16Z,19Z,22Z,25Z)-octacosa-16,19,22,25-tetraenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",823.64549121,823.64549121
"PC O-40:3",164362486,"C48H92NO7P",826.2,"CCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC=CCC=CCC=CCCCCCCC","CCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCC/C=C\C/C=C\C/C=C\CCCCCCC","InChI=1S/C48H92NO7P/c1-6-8-10-12-14-16-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-35-37-39-41-48(50)56-47(46-55-57(51,52)54-44-42-49(3,4)5)45-53-43-40-38-36-34-17-15-13-11-9-7-2/h18-19,21-22,24-25,47H,6-17,20,23,26-46H2,1-5H3/b19-18-,22-21-,25-24-","ODBXEJFUFNZVOB-UVQSURNNSA-N","[3-dodecoxy-2-[(14Z,17Z,20Z)-octacosa-14,17,20-trienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",825.66114127,825.66114127
"PC O-40:1",164398742,"C48H96NO7P",830.3,"CCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCC=CCCCCCCCCCC","CCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC/C=C\CCCCCCCCCC","InChI=1S/C48H96NO7P/c1-6-8-10-12-14-16-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-35-37-39-41-48(50)56-47(46-55-57(51,52)54-44-42-49(3,4)5)45-53-43-40-38-36-34-17-15-13-11-9-7-2/h21-22,47H,6-20,23-46H2,1-5H3/b22-21-","QWBFHXFULBUKPG-DQRAZIAOSA-N","[3-dodecoxy-2-[(Z)-octacos-17-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",829.6924414,829.6924414
"PC O-40:0",164286518,"C48H98NO7P",832.3,"CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","InChI=1S/C48H98NO7P/c1-6-8-10-12-14-16-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-35-37-39-41-48(50)56-47(46-55-57(51,52)54-44-42-49(3,4)5)45-53-43-40-38-36-34-17-15-13-11-9-7-2/h47H,6-46H2,1-5H3","IJKAFAWYFNQUCD-UHFFFAOYSA-N","(3-dodecoxy-2-octacosanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate",831.70809146,831.70809146
"MGDG 18:5_22:6",138298538,"C49H72O10",821.1,"CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC1C(C(C(C(O1)CO)O)O)O)COC(=O)CC=CCC=CCC=CCC=CCC=CCC","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COC1C(C(C(C(O1)CO)O)O)O)COC(=O)C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C49H72O10/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-45(52)58-42(41-57-49-48(55)47(54)46(53)43(39-50)59-49)40-56-44(51)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-19,21-23,26-29,32-35,42-43,46-50,53-55H,3-4,9-10,15-16,20,24-25,30-31,36-41H2,1-2H3/b7-5-,8-6-,13-11-,14-12-,19-17-,22-21-,23-18-,28-26-,29-27-,34-32-,35-33-","XOOSPUCONFXVJS-CEHTXILFSA-N","[1-[(3Z,6Z,9Z,12Z,15Z)-octadeca-3,6,9,12,15-pentaenoyl]oxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",820.51254849,820.51254849
"PI 18:1_22:6",138243885,"C49H81O13P",909.1,"CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC","CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C49H81O13P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-43(51)61-41(40-60-63(57,58)62-49-47(55)45(53)44(52)46(54)48(49)56)39-59-42(50)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17-19,21-23,26,28,32,34,41,44-49,52-56H,3-4,6,8-10,12,14-16,20,24-25,27,29-31,33,35-40H2,1-2H3,(H,57,58)/b7-5-,13-11-,19-17-,22-21-,23-18-,28-26-,34-32-","QHPDGSFYNQHVMI-HILQMKNTSA-N","[1-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-[(Z)-octadec-9-enoyl]oxypropan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",908.54147963,908.54147963
"PI 18:0_22:6",138144195,"C49H83O13P",911.1,"CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC","CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C49H83O13P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-43(51)61-41(40-60-63(57,58)62-49-47(55)45(53)44(52)46(54)48(49)56)39-59-42(50)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21-22,26,28,32,34,41,44-49,52-56H,3-4,6,8-10,12,14-16,18,20,23-25,27,29-31,33,35-40H2,1-2H3,(H,57,58)/b7-5-,13-11-,19-17-,22-21-,28-26-,34-32-","DJVOKHFQPGWUPK-HSBBONCLSA-N","[1-[hydroxy-(2,3,4,5,6-pentahydroxycyclohexyl)oxyphosphoryl]oxy-3-octadecanoyloxypropan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",910.5571297,910.5571297
"LPE 44:3",164377821,"C49H94NO7P",840.2,"CCCCCCCC=CCC=CCC=CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O","CCCCCCC/C=C\C/C=C\C/C=C\CCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O","InChI=1S/C49H94NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-49(52)55-46-48(51)47-57-58(53,54)56-45-44-50/h8-9,11-12,14-15,48,51H,2-7,10,13,16-47,50H2,1H3,(H,53,54)/b9-8-,12-11-,15-14-","PGRNUMMSHSSVPB-ORZIMQNZSA-N","[3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] (30Z,33Z,36Z)-tetratetraconta-30,33,36-trienoate",839.67679134,839.67679134
"PE 18:1_26:1",138239175,"C49H94NO8P",856.2,"CCCCCCCCCCC=CCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCCN","CCCCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCCN","InChI=1S/C49H94NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-24-25-26-28-30-32-34-36-38-40-42-49(52)58-47(46-57-59(53,54)56-44-43-50)45-55-48(51)41-39-37-35-33-31-29-27-18-16-14-12-10-8-6-4-2/h18,20-21,27,47H,3-17,19,22-26,28-46,50H2,1-2H3,(H,53,54)/b21-20-,27-18-","PSTZIJCPUPKYCK-OZKSNGOJSA-N","[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoyl]oxypropan-2-yl] (Z)-hexacos-15-enoate",855.67170595,855.67170595
"PC O-42:1",164359627,"C50H100NO7P",858.3,"CCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCC=CCCCCCCCCCC","CCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC/C=C\CCCCCCCCCC","InChI=1S/C50H100NO7P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-28-29-30-31-32-33-35-37-39-41-43-50(52)58-49(48-57-59(53,54)56-46-44-51(3,4)5)47-55-45-42-40-38-36-34-19-17-15-13-11-9-7-2/h22-23,49H,6-21,24-48H2,1-5H3/b23-22-","NXIQYQPNFOOYHO-FCQUAONHSA-N","[2-[(Z)-octacos-17-enoyl]oxy-3-tetradecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",857.72374153,857.72374153
"PC O-42:0",164401881,"C50H102NO7P",860.3,"CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","InChI=1S/C50H102NO7P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-28-29-30-31-32-33-35-37-39-41-43-50(52)58-49(48-57-59(53,54)56-46-44-51(3,4)5)47-55-45-42-40-38-36-34-19-17-15-13-11-9-7-2/h49H,6-48H2,1-5H3","RCDQUOKYWWQSQD-UHFFFAOYSA-N","(2-octacosanoyloxy-3-tetradecoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate",859.73939159,859.73939159
"BMP 22:6_22:6",138153413,"C50H75O10P",867.1,"CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(COP(=O)(OCC(OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)CO)O)CO","InChI=1S/C50H75O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-49(53)59-47(43-51)45-57-61(55,56)58-46-48(44-52)60-50(54)42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,23-26,29-32,35-38,47-48,51-52H,3-4,9-10,15-16,21-22,27-28,33-34,39-46H2,1-2H3,(H,55,56)/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-,25-23-,26-24-,31-29-,32-30-,37-35-,38-36-","FMHFZIDTIQEZJJ-GZSOIYOPSA-N","[1-[[2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyl]oxy-3-hydroxypropoxy]-hydroxyphosphoryl]oxy-3-hydroxypropan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",866.50978558,866.50978558
"BMP 22:5_22:6",138195187,"C50H77O10P",869.1,"CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C50H77O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-49(53)59-47(43-51)45-57-61(55,56)58-46-48(44-52)60-50(54)42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,23-26,29-32,35,37,47-48,51-52H,3-4,9-10,15-16,21-22,27-28,33-34,36,38-46H2,1-2H3,(H,55,56)/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-,25-23-,26-24-,31-29-,32-30-,37-35-","KMKVIBWZOQACES-UMZVQAGKSA-N","[1-[[2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyl]oxy-3-hydroxypropoxy]-hydroxyphosphoryl]oxy-3-hydroxypropan-2-yl] (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",868.52543565,868.52543565
"PC 18:5_24:6",164254225,"C50H78NO8P",852.1,"CCC=CCC=CCC=CCC=CCC=CCC=CCCCCC(=O)OC(COC(=O)CC=CCC=CCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC(COC(=O)C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C","InChI=1S/C50H78NO8P/c1-6-8-10-12-14-16-18-20-22-23-24-25-26-27-29-31-33-35-37-39-41-43-50(53)59-48(47-58-60(54,55)57-45-44-51(3,4)5)46-56-49(52)42-40-38-36-34-32-30-28-21-19-17-15-13-11-9-7-2/h8-11,14-17,20-22,24-25,27-29,32-35,38,40,48H,6-7,12-13,18-19,23,26,30-31,36-37,39,41-47H2,1-5H3/b10-8-,11-9-,16-14-,17-15-,22-20-,25-24-,28-21-,29-27-,34-32-,35-33-,40-38-","FXDQJBSGJDJBNI-IZDQRQBDSA-N","[3-[(3Z,6Z,9Z,12Z,15Z)-octadeca-3,6,9,12,15-pentaenoyl]oxy-2-[(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosa-6,9,12,15,18,21-hexaenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",851.54650544,851.54650544
"BMP 22:4_22:6",138220414,"C50H79O10P",871.1,"CCC=CCC=CCC=CCC=CCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC","CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C50H79O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-41-49(53)59-47(43-51)45-57-61(55,56)58-46-48(44-52)60-50(54)42-40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,23-26,29,31,35,37,47-48,51-52H,3-4,9-10,15-16,21-22,27-28,30,32-34,36,38-46H2,1-2H3,(H,55,56)/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-,25-23-,26-24-,31-29-,37-35-","NMUKIPFTBGVPME-BMSWDFHISA-N","[1-[[2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyl]oxy-3-hydroxypropoxy]-hydroxyphosphoryl]oxy-3-hydroxypropan-2-yl] (10Z,13Z,16Z,19Z)-docosa-10,13,16,19-tetraenoate",870.54108571,870.54108571
"PC 18:5_24:5",164384509,"C50H80NO8P",854.1,"CCC=CCC=CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CC=CCC=CCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC(COC(=O)C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C","InChI=1S/C50H80NO8P/c1-6-8-10-12-14-16-18-20-22-23-24-25-26-27-29-31-33-35-37-39-41-43-50(53)59-48(47-58-60(54,55)57-45-44-51(3,4)5)46-56-49(52)42-40-38-36-34-32-30-28-21-19-17-15-13-11-9-7-2/h8-11,14-17,20-22,24-25,27-29,32,34,38,40,48H,6-7,12-13,18-19,23,26,30-31,33,35-37,39,41-47H2,1-5H3/b10-8-,11-9-,16-14-,17-15-,22-20-,25-24-,28-21-,29-27-,34-32-,40-38-","PTUUYFOGIVTYJY-RDPPUIHHSA-N","[3-[(3Z,6Z,9Z,12Z,15Z)-octadeca-3,6,9,12,15-pentaenoyl]oxy-2-[(9Z,12Z,15Z,18Z,21Z)-tetracosa-9,12,15,18,21-pentaenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",853.56215551,853.56215551
"PC 8:0_34:9",164290651,"C50H82NO8P",856.2,"CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC","CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C50H82NO8P/c1-6-8-10-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-39-41-43-50(53)59-48(46-56-49(52)42-40-38-11-9-7-2)47-58-60(54,55)57-45-44-51(3,4)5/h8,10,13-14,16-17,19-20,22-23,25-26,28-29,31-32,34-35,48H,6-7,9,11-12,15,18,21,24,27,30,33,36-47H2,1-5H3/b10-8-,14-13-,17-16-,20-19-,23-22-,26-25-,29-28-,32-31-,35-34-","IRPZOUHMUWOOEG-YJQXEXJISA-N","[3-octanoyloxy-2-[(7Z,10Z,13Z,16Z,19Z,22Z,25Z,28Z,31Z)-tetratriaconta-7,10,13,16,19,22,25,28,31-nonaenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",855.57780557,855.57780557
"PC O-42:6",164464971,"C50H90NO7P",848.2,"CCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC=CCC=CCC=CCC=CCC=CCC=CCC","CCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C50H90NO7P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-28-29-30-31-32-33-35-37-39-41-43-50(52)58-49(48-57-59(53,54)56-46-44-51(3,4)5)47-55-45-42-40-38-36-34-19-17-15-13-11-9-7-2/h8,10,14,16,20-21,23-24,26-27,29-30,49H,6-7,9,11-13,15,17-19,22,25,28,31-48H2,1-5H3/b10-8-,16-14-,21-20-,24-23-,27-26-,30-29-","WOWWBOGGFOWOOM-LGCDBHAXSA-N","[2-[(10Z,13Z,16Z,19Z,22Z,25Z)-octacosa-10,13,16,19,22,25-hexaenoyl]oxy-3-tetradecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",847.64549121,847.64549121
"PC O-42:5",164393710,"C50H92NO7P",850.2,"CCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCC=CCC=CCC=CCC=CCC=CCC","CCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C50H92NO7P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-28-29-30-31-32-33-35-37-39-41-43-50(52)58-49(48-57-59(53,54)56-46-44-51(3,4)5)47-55-45-42-40-38-36-34-19-17-15-13-11-9-7-2/h8,10,14,16,20-21,23-24,26-27,49H,6-7,9,11-13,15,17-19,22,25,28-48H2,1-5H3/b10-8-,16-14-,21-20-,24-23-,27-26-","QMCQHLYJOIDWGG-PBYREVRASA-N","[2-[(13Z,16Z,19Z,22Z,25Z)-octacosa-13,16,19,22,25-pentaenoyl]oxy-3-tetradecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",849.66114127,849.66114127
"PC O-42:4",164458670,"C50H94NO7P",852.3,"CCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC=CCC=CCC=CCC=CCC","CCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C50H94NO7P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-28-29-30-31-32-33-35-37-39-41-43-50(52)58-49(48-57-59(53,54)56-46-44-51(3,4)5)47-55-45-42-40-38-36-34-19-17-15-13-11-9-7-2/h8,10,14,16,20-21,23-24,49H,6-7,9,11-13,15,17-19,22,25-48H2,1-5H3/b10-8-,16-14-,21-20-,24-23-","WCRMUYBCGFGNRR-LTFXTMEVSA-N","[2-[(16Z,19Z,22Z,25Z)-octacosa-16,19,22,25-tetraenoyl]oxy-3-tetradecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",851.67679134,851.67679134
"PC O-42:3",164387781,"C50H96NO7P",854.3,"CCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC=CCC=CCC=CCCCCCCC","CCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCC/C=C\C/C=C\C/C=C\CCCCCCC","InChI=1S/C50H96NO7P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-28-29-30-31-32-33-35-37-39-41-43-50(52)58-49(48-57-59(53,54)56-46-44-51(3,4)5)47-55-45-42-40-38-36-34-19-17-15-13-11-9-7-2/h18,20,22-23,25-26,49H,6-17,19,21,24,27-48H2,1-5H3/b20-18-,23-22-,26-25-","QAJRFFUHENEZQE-RTJPTYSYSA-N","[2-[(14Z,17Z,20Z)-octacosa-14,17,20-trienoyl]oxy-3-tetradecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",853.6924414,853.6924414
"TG 15:0_16:0_16:0",91866325,"C50H96O6",793.3,"CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","InChI=1S/C50H96O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-49(52)55-46-47(45-54-48(51)42-39-36-33-30-27-24-21-18-15-12-9-6-3)56-50(53)44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h47H,4-46H2,1-3H3","BLIGKERFCBUUQF-UHFFFAOYSA-N","(2-hexadecanoyloxy-3-pentadecanoyloxypropyl) hexadecanoate",792.72069078,792.72069078
"PC O-42:2",164439451,"C50H98NO7P",856.3,"CCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCC=CCC=CCCCCCCC","CCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC/C=C\C/C=C\CCCCCCC","InChI=1S/C50H98NO7P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-28-29-30-31-32-33-35-37-39-41-43-50(52)58-49(48-57-59(53,54)56-46-44-51(3,4)5)47-55-45-42-40-38-36-34-19-17-15-13-11-9-7-2/h18,20,22-23,49H,6-17,19,21,24-48H2,1-5H3/b20-18-,23-22-","URDZVAHPTRQDFK-AKXWPXBYSA-N","[2-[(17Z,20Z)-octacosa-17,20-dienoyl]oxy-3-tetradecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",855.70809146,855.70809146
